 strength = semiamplitude of R in solar mass,au,day
  pla  |p+q|:|p|     a(au)      e     i     argper        <R>      strength                   
    1   19   17    55.176488   0.64  27.36  54.88    1.5256E-02    8.7287E-05
    1   21   19    55.587871   0.64  27.36  54.88    1.5199E-02    7.3830E-05
    1   23   21    55.926565   0.64  27.36  54.88    1.5153E-02    6.2935E-05
    1   25   23    56.210277   0.64  27.36  54.88    1.5113E-02    5.4198E-05
    1   27   25    56.451394   0.64  27.36  54.88    1.5080E-02    4.7022E-05
    1   29   27    56.658841   0.64  27.36  54.88    1.5052E-02    4.0991E-05
    1   31   29    56.839211   0.64  27.36  54.88    1.5027E-02    3.5855E-05
    1   33   31    56.997483   0.64  27.36  54.88    1.5005E-02    3.1543E-05
    1   35   33    57.137483   0.64  27.36  54.88    1.4986E-02    2.7860E-05
    1   37   35    57.262203   0.64  27.36  54.88    1.4969E-02    2.4642E-05
    1   39   37    57.374016   0.64  27.36  54.88    1.4953E-02    2.1839E-05
    1   41   39    57.474827   0.64  27.36  54.88    1.4940E-02    1.9530E-05
    1   43   41    57.566184   0.64  27.36  54.88    1.4927E-02    1.7440E-05
    1   45   43    57.649357   0.64  27.36  54.88    1.4916E-02    1.5466E-05
    1   47   45    57.725399   0.64  27.36  54.88    1.4905E-02    1.3910E-05
    1   49   47    57.795189   0.64  27.36  54.88    1.4896E-02    1.2591E-05
    1   51   49    57.859469   0.64  27.36  54.88    1.4887E-02    1.1326E-05
    1   53   51    57.918865   0.64  27.36  54.88    1.4879E-02    1.0066E-05
    1   55   53    57.973915   0.64  27.36  54.88    1.4872E-02    9.0199E-06
    1   57   55    58.025077   0.64  27.36  54.88    1.4865E-02    8.2317E-06
    1   59   57    58.072751   0.64  27.36  54.88    1.4858E-02    7.4702E-06
    1   61   59    58.117281   0.64  27.36  54.88    1.4852E-02    6.8280E-06
    1   63   61    58.158969   0.64  27.36  54.88    1.4846E-02    6.0095E-06
    1   65   63    58.198077   0.64  27.36  54.88    1.4841E-02    5.3422E-06
    1   67   65    58.234839   0.64  27.36  54.88    1.4836E-02    5.0802E-06
    1   69   67    58.269458   0.64  27.36  54.88    1.4831E-02    4.4696E-06
    1   71   69    58.302118   0.64  27.36  54.88    1.4827E-02    4.2664E-06
    1   73   71    58.332980   0.64  27.36  54.88    1.4823E-02    3.8021E-06
    1   75   73    58.362189   0.64  27.36  54.88    1.4819E-02    3.2104E-06
    1   77   75    58.389873   0.64  27.36  54.88    1.4815E-02    3.2961E-06
    1   79   77    58.416150   0.64  27.36  54.88    1.4811E-02    2.7200E-06
    1   81   79    58.441123   0.64  27.36  54.88    1.4808E-02    2.6791E-06
    1   83   81    58.464888   0.64  27.36  54.88    1.4805E-02    2.5061E-06
    1   85   83    58.487530   0.64  27.36  54.88    1.4802E-02    1.9542E-06
    1   87   85    58.509127   0.64  27.36  54.88    1.4799E-02    2.2356E-06
    1   89   87    58.529750   0.64  27.36  54.88    1.4796E-02    1.6294E-06
    1   91   89    58.549463   0.64  27.36  54.88    1.4794E-02    1.7409E-06
    1   93   91    58.568325   0.64  27.36  54.88    1.4791E-02    1.6446E-06
    1   95   93    58.586390   0.64  27.36  54.88    1.4788E-02    1.1727E-06
    1   97   95    58.603707   0.64  27.36  54.88    1.4787E-02    1.5567E-06
    1   99   97    58.620322   0.64  27.36  54.88    1.4784E-02    9.1934E-07
    1    4    1    23.582174   0.64  27.36  54.88    1.7350E-02    4.2479E-04
    1    5    2    32.259961   0.64  27.36  54.88    1.7550E-02    6.6671E-04
    1    7    4    40.919640   0.64  27.36  54.88    1.7096E-02    2.7481E-04
    1    8    5    43.438736   0.64  27.36  54.88    1.6827E-02    2.6499E-04
    1   10    7    46.847800   0.64  27.36  54.88    1.6404E-02    1.8008E-04
    1   11    8    48.056858   0.64  27.36  54.88    1.6243E-02    1.5228E-04
    1   13   10    49.887867   0.64  27.36  54.88    1.5993E-02    1.1926E-04
    1   14   11    50.598030   0.64  27.36  54.88    1.5895E-02    1.0540E-04
    1   16   13    51.741548   0.64  27.36  54.88    1.5736E-02    8.5588E-05
    1   17   14    52.208744   0.64  27.36  54.88    1.5670E-02    7.7872E-05
    1   19   16    52.990916   0.64  27.36  54.88    1.5561E-02    6.4698E-05
    1   20   17    53.321594   0.64  27.36  54.88    1.5515E-02    5.9359E-05
