 strength = semiamplitude of R in solar mass,au,day
  pla  |p+q|:|p|     a(au)      e     i     argper        <R>      strength                   
    1    7    5    47.483036   0.91  11.97  36.97    1.6441E-02    4.0684E-04
    1    9    7    50.256726   0.91  11.97  36.97    1.5730E-02    3.9590E-04
    1   11    9    51.982487   0.91  11.97  36.97    1.5316E-02    2.3273E-04
    1   13   11    53.160623   0.91  11.97  36.97    1.5044E-02    1.3916E-04
    1   15   13    54.016350   0.91  11.97  36.97    1.4852E-02    1.3784E-04
    1   17   15    54.666181   0.91  11.97  36.97    1.4710E-02    1.0646E-04
    1   19   17    55.176488   0.91  11.97  36.97    1.4600E-02    7.7558E-05
    1   21   19    55.587871   0.91  11.97  36.97    1.4512E-02    6.7474E-05
    1   23   21    55.926565   0.91  11.97  36.97    1.4441E-02    5.6935E-05
    1   25   23    56.210277   0.91  11.97  36.97    1.4382E-02    4.5687E-05
    1   27   25    56.451394   0.91  11.97  36.97    1.4332E-02    3.8886E-05
    1   29   27    56.658841   0.91  11.97  36.97    1.4289E-02    3.3449E-05
    1   31   29    56.839211   0.91  11.97  36.97    1.4252E-02    2.7984E-05
    1   33   31    56.997483   0.91  11.97  36.97    1.4220E-02    2.3389E-05
    1   35   33    57.137483   0.91  11.97  36.97    1.4192E-02    2.0281E-05
    1   37   35    57.262203   0.91  11.97  36.97    1.4167E-02    1.7523E-05
    1   39   37    57.374016   0.91  11.97  36.97    1.4144E-02    1.4908E-05
    1   41   39    57.474827   0.91  11.97  36.97    1.4124E-02    1.3120E-05
    1   43   41    57.566184   0.91  11.97  36.97    1.4106E-02    1.1712E-05
    1   45   43    57.649357   0.91  11.97  36.97    1.4089E-02    9.7455E-06
    1   47   45    57.725399   0.91  11.97  36.97    1.4074E-02    8.0879E-06
    1   49   47    57.795189   0.91  11.97  36.97    1.4060E-02    6.9730E-06
    1   51   49    57.859469   0.91  11.97  36.97    1.4047E-02    6.9132E-06
    1   53   51    57.918865   0.91  11.97  36.97    1.4036E-02    5.9865E-06
    1   55   53    57.973915   0.91  11.97  36.97    1.4024E-02    4.4238E-06
    1   57   55    58.025077   0.91  11.97  36.97    1.4014E-02    3.8227E-06
    1   59   57    58.072751   0.91  11.97  36.97    1.4005E-02    4.1739E-06
    1   61   59    58.117281   0.91  11.97  36.97    1.3996E-02    3.2859E-06
    1   63   61    58.158969   0.91  11.97  36.97    1.3988E-02    2.4584E-06
    1   65   63    58.198077   0.91  11.97  36.97    1.3980E-02    2.0908E-06
    1   67   65    58.234839   0.91  11.97  36.97    1.3973E-02    2.1936E-06
    1   69   67    58.269458   0.91  11.97  36.97    1.3967E-02    2.1438E-06
    1   71   69    58.302118   0.91  11.97  36.97    1.3959E-02    1.1293E-06
    1   73   71    58.332980   0.91  11.97  36.97    1.3954E-02    1.5032E-06
    1   75   73    58.362189   0.91  11.97  36.97    1.3949E-02    1.7408E-06
    1   77   75    58.389873   0.91  11.97  36.97    1.3942E-02    8.2943E-07
    1   79   77    58.416150   0.91  11.97  36.97    1.3938E-02    1.2529E-06
    1   81   79    58.441123   0.91  11.97  36.97    1.3933E-02    1.0749E-06
    1   83   81    58.464888   0.91  11.97  36.97    1.3928E-02    7.7175E-07
    1   85   83    58.487530   0.91  11.97  36.97    1.3924E-02    1.0910E-06
    1   87   85    58.509127   0.91  11.97  36.97    1.3919E-02    4.3910E-07
    1   89   87    58.529750   0.91  11.97  36.97    1.3915E-02    7.9065E-07
    1   91   89    58.549463   0.91  11.97  36.97    1.3912E-02    8.2509E-07
    1   93   91    58.568325   0.91  11.97  36.97    1.3907E-02    6.7183E-08
    1   95   93    58.586390   0.91  11.97  36.97    1.3905E-02    7.7174E-07
    1   97   95    58.603707   0.91  11.97  36.97    1.3901E-02    5.1569E-07
    1   99   97    58.620322   0.91  11.97  36.97    1.3897E-02    3.0383E-07
    1    4    1    23.582174   0.91  11.97  36.97    1.8586E-02    1.3590E-03
    1    5    2    32.259961   0.91  11.97  36.97    2.0381E-02    1.3133E-03
    1    7    4    40.919640   0.91  11.97  36.97    1.8330E-02    5.6660E-04
    1    8    5    43.438736   0.91  11.97  36.97    1.7574E-02    3.8128E-04
    1   10    7    46.847800   0.91  11.97  36.97    1.6611E-02    2.5679E-04
    1   11    8    48.056858   0.91  11.97  36.97    1.6289E-02    2.1647E-04
    1   13   10    49.887867   0.91  11.97  36.97    1.5822E-02    1.5133E-04
    1   14   11    50.598030   0.91  11.97  36.97    1.5647E-02    1.4460E-04
    1   16   13    51.741548   0.91  11.97  36.97    1.5372E-02    1.0384E-04
    1   17   14    52.208744   0.91  11.97  36.97    1.5263E-02    1.0225E-04
    1   19   16    52.990916   0.91  11.97  36.97    1.5082E-02    7.5958E-05
    1   20   17    53.321594   0.91  11.97  36.97    1.5008E-02    7.4168E-05
    1   22   19    53.890364   0.91  11.97  36.97    1.4880E-02    5.7297E-05
    1   23   20    54.136721   0.91  11.97  36.97    1.4826E-02    5.5267E-05
    1   25   22    54.568953   0.91  11.97  36.97    1.4731E-02    4.4004E-05
    1   26   23    54.759587   0.91  11.97  36.97    1.4690E-02    4.1914E-05
    1   28   25    55.099183   0.91  11.97  36.97    1.4617E-02    3.4113E-05
    1   29   26    55.251076   0.91  11.97  36.97    1.4584E-02    3.2015E-05
    1   31   28    55.524936   0.91  11.97  36.97    1.4526E-02    2.6627E-05
    1   32   29    55.648806   0.91  11.97  36.97    1.4500E-02    2.4835E-05
    1   34   31    55.874334   0.91  11.97  36.97    1.4452E-02    2.0837E-05
    1   35   32    55.977280   0.91  11.97  36.97    1.4431E-02    1.9451E-05
    1   37   34    56.166234   0.91  11.97  36.97    1.4391E-02    1.6789E-05
    1   38   35    56.253145   0.91  11.97  36.97    1.4373E-02    1.5610E-05
    1   40   37    56.413753   0.91  11.97  36.97    1.4340E-02    1.3326E-05
    1   41   38    56.488104   0.91  11.97  36.97    1.4324E-02    1.2134E-05
    1   43   40    56.626301   0.91  11.97  36.97    1.4296E-02    1.0405E-05
    1   44   41    56.690631   0.91  11.97  36.97    1.4283E-02    9.8772E-06
    1   46   43    56.810802   0.91  11.97  36.97    1.4258E-02    8.2580E-06
    1   47   44    56.867009   0.91  11.97  36.97    1.4247E-02    8.3077E-06
    1   49   46    56.972465   0.91  11.97  36.97    1.4225E-02    6.9774E-06
    1   50   47    57.021995   0.91  11.97  36.97    1.4215E-02    6.6702E-06
    1   52   49    57.115283   0.91  11.97  36.97    1.4197E-02    6.0547E-06
    1   53   50    57.159260   0.91  11.97  36.97    1.4187E-02    5.0341E-06
    1   55   52    57.242370   0.91  11.97  36.97    1.4171E-02    5.0308E-06
    1   56   53    57.281678   0.91  11.97  36.97    1.4162E-02    3.7305E-06
    1   58   55    57.356191   0.91  11.97  36.97    1.4148E-02    3.8935E-06
    1   59   56    57.391536   0.91  11.97  36.97    1.4140E-02    3.0287E-06
    1   61   58    57.458720   0.91  11.97  36.97    1.4127E-02    2.8828E-06
    1   62   59    57.490672   0.91  11.97  36.97    1.4121E-02    3.1075E-06
    1   64   61    57.551557   0.91  11.97  36.97    1.4109E-02    2.1600E-06
    1   65   62    57.580583   0.91  11.97  36.97    1.4103E-02    2.9650E-06
    1   67   64    57.636016   0.91  11.97  36.97    1.4091E-02    1.6931E-06
    1   68   65    57.662500   0.91  11.97  36.97    1.4087E-02    2.5131E-06
    1   70   67    57.713181   0.91  11.97  36.97    1.4076E-02    1.3731E-06
    1   71   68    57.737443   0.91  11.97  36.97    1.4072E-02    1.9073E-06
    1   73   70    57.783959   0.91  11.97  36.97    1.4062E-02    1.1273E-06
    1   74   71    57.806267   0.91  11.97  36.97    1.4058E-02    1.5885E-06
    1   76   73    57.849110   0.91  11.97  36.97    1.4049E-02    9.3288E-07
    1   77   74    57.869692   0.91  11.97  36.97    1.4045E-02    1.2110E-06
    1   79   76    57.909281   0.91  11.97  36.97    1.4037E-02    7.9787E-07
    1   80   77    57.928329   0.91  11.97  36.97    1.4033E-02    8.1292E-07
    1   82   79    57.965021   0.91  11.97  36.97    1.4026E-02    7.2671E-07
    1   83   80    57.982700   0.91  11.97  36.97    1.4022E-02    4.3776E-07
    1   85   82    58.016803   0.91  11.97  36.97    1.4016E-02    7.0302E-07
    1   86   83    58.033255   0.91  11.97  36.97    1.4012E-02    2.6491E-07
    1   88   85    58.065033   0.91  11.97  36.97    1.4007E-02    7.0611E-07
    1   89   86    58.080383   0.91  11.97  36.97    1.4003E-02    1.6509E-07
    1   91   88    58.110065   0.91  11.97  36.97    1.3998E-02    7.0991E-07
    1   92   89    58.124419   0.91  11.97  36.97    1.3994E-02    1.8287E-07
    1   94   91    58.152207   0.91  11.97  36.97    1.3990E-02    7.0478E-07
    1   95   92    58.165659   0.91  11.97  36.97    1.3986E-02    2.7626E-07
    1   97   94    58.191728   0.91  11.97  36.97    1.3982E-02    6.7423E-07
    1   98   95    58.204361   0.91  11.97  36.97    1.3979E-02    3.5322E-07
    1  100   97    58.228866   0.91  11.97  36.97    1.3975E-02    6.2106E-07
    1    5    1    20.322502   0.91  11.97  36.97    1.8017E-02    4.2926E-04
    1    7    3    33.778419   0.91  11.97  36.97    2.0256E-02    6.3944E-04
    1    9    5    40.158317   0.91  11.97  36.97    1.8563E-02    4.9065E-04
    1   11    7    43.963684   0.91  11.97  36.97    1.7421E-02    1.9001E-04
    1   13    9    46.503961   0.91  11.97  36.97    1.6704E-02    1.6930E-04
    1   15   11    48.323471   0.91  11.97  36.97    1.6219E-02    1.4628E-04
    1   17   13    49.692036   0.91  11.97  36.97    1.5870E-02    9.5905E-05
    1   19   15    50.759299   0.91  11.97  36.97    1.5607E-02    7.5759E-05
    1   21   17    51.615118   0.91  11.97  36.97    1.5402E-02    6.6951E-05
    1   23   19    52.316781   0.91  11.97  36.97    1.5237E-02    5.2579E-05
    1   25   21    52.902561   0.91  11.97  36.97    1.5103E-02    4.2309E-05
    1   27   23    53.399012   0.91  11.97  36.97    1.4990E-02    3.6442E-05
    1   29   25    53.825141   0.91  11.97  36.97    1.4895E-02    3.0397E-05
    1   31   27    54.194917   0.91  11.97  36.97    1.4813E-02    2.5387E-05
